title,author,subject,additional_subjects,first_publish_year,cover_id,cover_url,edition_count,ratings_average,ratings_count,key
A Tale of Two Cities,Charles Dickens,Fiction,"British, British and irish fiction (fictional works by one author), Children's fiction, Criticism and interpretation, English fiction",1800,13301713,https://covers.openlibrary.org/b/id/13301713-L.jpg,2059,,0,/works/OL8193465W
The Wonderful Wizard of Oz,L. Frank Baum,Fiction,"Witches, Toy and movable books, Spanish language materials, Fiction, Wizards",1899,552443,https://covers.openlibrary.org/b/id/552443-L.jpg,2052,,0,/works/OL18417W
Sense and Sensibility,Jane Austen,Fiction,"Fiction, Romance, Historical, Regency, Inheritance and succession, fiction, Mate selection, fiction, Social classes, fiction, Family life, fiction",1811,9278292,https://covers.openlibrary.org/b/id/9278292-L.jpg,2015,,0,/works/OL66562W
Treasure Island,Robert Louis Stevenson,Fiction,"Fiction, Treasure Island (Imaginary place), Treasure-trove, Pirates, Treasure troves",1880,13859660,https://covers.openlibrary.org/b/id/13859660-L.jpg,1985,,0,/works/OL24034W
Little Women,Louisa May Alcott,Fiction,"Romans, Jeunes filles, Soeurs, Sisters, Young women",1848,8775559,https://covers.openlibrary.org/b/id/8775559-L.jpg,1888,,0,/works/OL29983W
Gulliver's Travels,Jonathan Swift,Fiction,"YA, Young adult, Juvenile, Fiction, Fantasy",1726,12717083,https://covers.openlibrary.org/b/id/12717083-L.jpg,1810,,0,/works/OL20600W
The Call of the Wild,Jack London,Fiction,"Gold discoveries, Bienestar, Lobos, Descubrimiento de oro, Crítica e interpretación",1903,12393037,https://covers.openlibrary.org/b/id/12393037-L.jpg,1699,,0,/works/OL14942956W
The Secret Garden,Frances Hodgson Burnett,Fiction,"Fiction, general, Friendship, fiction, People with disabilities, fiction, Great britain, fiction, Child and youth fiction",1911,12622062,https://covers.openlibrary.org/b/id/12622062-L.jpg,1594,,0,/works/OL69612W
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,Fiction,"Don Quixote (Cervantes Saavedra, Miguel de), Quotations, Knights and knighthood, Social life and customs, Fiction",1600,14428305,https://covers.openlibrary.org/b/id/14428305-L.jpg,1590,,0,/works/OL503666W
Madame Bovary,Gustave Flaubert,Fiction,"literary fiction, French literature, Fiction, Manners and customs, fiction, Adultery",1856,12993424,https://covers.openlibrary.org/b/id/12993424-L.jpg,1557,,0,/works/OL893707W
King Lear,William Shakespeare,Fiction,"Drama, King Lear (Legendary character), Fathers and daughters, Kings and rulers, Inheritance and succession",1608,7420452,https://covers.openlibrary.org/b/id/7420452-L.jpg,1544,,0,/works/OL259026W
Great Expectations,Charles Dickens,Fiction,"Authors, Benefactors, Bildungsromans, Boys, British and irish fiction (fictional works by one author)",1861,13322313,https://covers.openlibrary.org/b/id/13322313-L.jpg,1489,,0,/works/OL8721462W
A Midsummer Night's Dream,William Shakespeare,Fiction,"Drama, Courtship, Plays, Hippolyta (Greek mythology), Theseus (Greek mythology)",1600,7205924,https://covers.openlibrary.org/b/id/7205924-L.jpg,1485,,0,/works/OL259010W
A Study in Scarlet,Arthur Conan Doyle,Fiction,"Action & Adventure Fiction, aortic aneurysm, Battle of Maiwand, Blessing and cursing, British and irish fiction (fictional works by one author)",1887,13405534,https://covers.openlibrary.org/b/id/13405534-L.jpg,1445,,0,/works/OL262496W
The Art of War,"孙武, Sun Tzu ",Fiction,"Open Library Staff Picks, Early works to 1800, Military art and science, great_books_of_the_western_world, Business",1900,4849549,https://covers.openlibrary.org/b/id/4849549-L.jpg,1433,,0,/works/OL244537W
The Prince,Niccolò Machiavelli,Fiction,"Political science, early works to 1800, Machiavel, Nicolas, 1469-1527. Prince, Classic Literature, Fiction, Ouvrages avant 1800",1515,12726168,https://covers.openlibrary.org/b/id/12726168-L.jpg,1407,,0,/works/OL1089297W
Through the Looking-Glass,"Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll",Fiction,"Fantasy, Fiction, English Nonsense verses, Children's poetry, English, Nonsense verses",1865,11272464,https://covers.openlibrary.org/b/id/11272464-L.jpg,1378,,0,/works/OL151406W
The Wind in the Willows,Kenneth Grahame,Fiction,"Children's fiction, Animals, fiction, Friendship, fiction, England, fiction, Fiction",1908,13335427,https://covers.openlibrary.org/b/id/13335427-L.jpg,1346,,0,/works/OL28570037W
Divina Commedia,Dante Alighieri,Fiction,"Poetry (poetic works by one author), Literatura, Portraits, Paradise, Poetry",1472,11621024,https://covers.openlibrary.org/b/id/11621024-L.jpg,1334,,0,/works/OL93082W
Анна Каренина,Лев Толстой,Fiction,"Fiction, Adultery, Married women, Social life and customs, Social conditions",1876,2560652,https://covers.openlibrary.org/b/id/2560652-L.jpg,1314,,0,/works/OL267096W
The Hound of the Baskervilles,Arthur Conan Doyle,Fiction,"crime novel, English Civil War, mires, tors, tombs",1900,8063264,https://covers.openlibrary.org/b/id/8063264-L.jpg,1308,,0,/works/OL262454W
Anne of Green Gables,Lucy Maud Montgomery,Fiction,"Fiction, Juvenile fiction, Country life, Friendship, Orphans",1908,14641084,https://covers.openlibrary.org/b/id/14641084-L.jpg,1299,,0,/works/OL77746W
Persuasion,Jane Austen,Fiction,"Fiction, Romance, Historical, Regency, Love stories, English, Moški in ženske, V leposlovju, Medosebni odnosi",1789,12824691,https://covers.openlibrary.org/b/id/12824691-L.jpg,1235,,0,/works/OL66544W
Julius Caesar,William Shakespeare,Fiction,"Antoine (Marcus Antonius), Assassination, Assassins, Bibliography, Biography",1656,7901303,https://covers.openlibrary.org/b/id/7901303-L.jpg,1222,,0,/works/OL362702W
The Great Gatsby,F. Scott Fitzgerald,Fiction,"Married people, fiction, American fiction (fictional works by one author), Fiction, psychological, Long island (n.y.), fiction, Fiction",1920,10590366,https://covers.openlibrary.org/b/id/10590366-L.jpg,1175,,0,/works/OL468431W
Jane Eyre,Charlotte Brontë,Fiction,"Fiction, Romance, Historical"", Man-woman relationships, fiction, Charity schools, fiction",1847,8235363,https://covers.openlibrary.org/b/id/8235363-L.jpg,1170,,0,/works/OL1095427W
The Time Machine,H. G. Wells,Fiction,"Self-experimentation in medicine in fiction, Fiction, Time travel in fiction, Dystopias in fiction, Literature",1895,9009316,https://covers.openlibrary.org/b/id/9009316-L.jpg,1154,,0,/works/OL52267W
Walden,"Henry David Thoreau, Jedidiah Britton-purdy",Fiction,"Biography, Homes and haunts, American Authors, Social life and customs, Solitude",1854,11248037,https://covers.openlibrary.org/b/id/11248037-L.jpg,1136,,0,/works/OL55649W
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,Fiction,"Classic Literature, Murder, Mystery, Conclusions, amorality",1892,6717853,https://covers.openlibrary.org/b/id/6717853-L.jpg,1132,,0,/works/OL262421W
Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,Fiction,"Humorous stories, Male friendship, Description and travel, Humor (Fiction), Boats and boating",1889,8243006,https://covers.openlibrary.org/b/id/8243006-L.jpg,1132,,0,/works/OL1793164W
Moby Dick,Herman Melville,Fiction,"American Sea stories, Mentally ill, Whaling, Science Fiction & Fantasy, Whales",1851,10544254,https://covers.openlibrary.org/b/id/10544254-L.jpg,1118,,0,/works/OL102749W
Mansfield Park,Jane Austen,Fiction,"Love stories, English, Fiction, Romance, Historical, Regency, Social life and customs, Adoptees,  fiction, Poor families, fiction",1814,14618737,https://covers.openlibrary.org/b/id/14618737-L.jpg,1107,,0,/works/OL66530W
The Man Who Was Thursday,Gilbert Keith Chesterton,Fiction,"Anarchists, Novela de misterio, Police, Libros en letra grande, Fiction",1908,8242857,https://covers.openlibrary.org/b/id/8242857-L.jpg,1105,,0,/works/OL76487W
Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet",Fiction,"History, Fiction, Swordsmen, France in fiction, Vietnamese language books",1844,11929973,https://covers.openlibrary.org/b/id/11929973-L.jpg,1102,,0,/works/OL36861W
Ἰλιάς,Όμηρος,Fiction,"Odysseus (Greek mythology), Juvenile poetry, Readers, Greeks, Poetry",1505,7083790,https://covers.openlibrary.org/b/id/7083790-L.jpg,1084,,0,/works/OL61981W
Candide,"Voltaire, William Fleming, Philip Littell, Jack Davenport",Fiction,"Conduct of life, Readers, Literatura francesa, Satire, Fiction",1746,12736044,https://covers.openlibrary.org/b/id/12736044-L.jpg,1079,,0,/works/OL100672W
The Mysterious Affair at Styles,"Agatha Christie, Lazlo Ferra, Anne Powers, Jose Valladares, Arthur Robison",Fiction,"Fiction, Mystery, Crime Fiction, Mystery Thriller, Thriller",1920,13699667,https://covers.openlibrary.org/b/id/13699667-L.jpg,1077,,0,/works/OL472715W
Ὀδύσσεια,Όμηρος,Fiction,"great_books_of_the_western_world, Poetry, Fiction, Classical literature, Open Library Staff Picks",1488,9045853,https://covers.openlibrary.org/b/id/9045853-L.jpg,1061,,0,/works/OL61982W
Hard Times,Charles Dickens,Fiction,"Fiction, Social problems, Utilitarianism, Education, Social life and customs",1854,8236916,https://covers.openlibrary.org/b/id/8236916-L.jpg,1029,,0,/works/OL8193387W
The Legend of Sleepy Hollow,Washington Irving,Fiction,"Fiction, Ghosts, History, Children's stories, American, Short stories",1820,8243083,https://covers.openlibrary.org/b/id/8243083-L.jpg,1017,,0,/works/OL63985W
Northanger Abbey,Jane Austen,Fiction,"Mate selection, Cousins, Fiction, Young women, Horror tales",1818,12567961,https://covers.openlibrary.org/b/id/12567961-L.jpg,1011,,0,/works/OL66534W
Ethan Frome,Edith Wharton,Fiction,"Accident victims, American fiction (fictional works by one author), American literature, Children's fiction, Classic Literature",1910,8303480,https://covers.openlibrary.org/b/id/8303480-L.jpg,1000,,0,/works/OL98501W
Dubliners,James Joyce,Fiction,"Daily Express, West Briton, Three Graces, The Lass of Aughrim, alcoholism",1914,8216412,https://covers.openlibrary.org/b/id/8216412-L.jpg,995,,0,/works/OL86320W
Captains Courageous,Rudyard Kipling,Fiction,"Teenage boys, Fishers, Fiction, Interpersonal relations, Reading",1896,12819857,https://covers.openlibrary.org/b/id/12819857-L.jpg,990,,0,/works/OL19842W
The Railway Children,Edith Nesbit,Fiction,"Brothers and sisters, Children's stories, Classic Literature, Country life, Family",1900,13241123,https://covers.openlibrary.org/b/id/13241123-L.jpg,985,,0,/works/OL99509W
Romeo and Juliet,William Shakespeare,Fiction,"Classical Literature, British and irish drama (dramatic works by one author), Conflicto entre generaciones, Conflict of generations, courtship",1597,8257991,https://covers.openlibrary.org/b/id/8257991-L.jpg,975,,0,/works/OL362427W
King Solomon's Mines,H. Rider Haggard,Fiction,"Children's fiction, Mines and mineral resources, fiction, Adventure and adventurers, fiction, Large type books, Quatermain, allan (fictitious character), fiction",1880,8665393,https://covers.openlibrary.org/b/id/8665393-L.jpg,970,,0,/works/OL17448W
The Sign of Four,Arthur Conan Doyle,Fiction,"Crime & Mystery, classic fiction, Andamanese, arrow poisons, bloguns",1889,9247987,https://covers.openlibrary.org/b/id/9247987-L.jpg,961,,0,/works/OL262438W
Macbeth,William Shakespeare,Fiction,"Drama, Regicides, Kings and rulers, Texts, French-Canadian dialect",1508,872432,https://covers.openlibrary.org/b/id/872432-L.jpg,957,,0,/works/OL258902W
Die Verwandlung,Franz Kafka,Fiction,"Fantasy fiction, Children's fiction, Lectures et morceaux choisis, Fantastique, Nouvelles",1915,12820198,https://covers.openlibrary.org/b/id/12820198-L.jpg,952,,0,/works/OL498556W
Five Children and It,Edith Nesbit,Fiction,"Fiction, Fairies, Wishes, Brothers and sisters, History",1905,28174,https://covers.openlibrary.org/b/id/28174-L.jpg,950,,0,/works/OL99499W
Kim,Rudyard Kipling,Fiction,"Fiction, Irish, Lamas, Irish in fiction, Orphans",1901,1053011,https://covers.openlibrary.org/b/id/1053011-L.jpg,934,,0,/works/OL19908W
The Adventures of Tom Sawyer,Mark Twain,Fiction,"The Adventures of Tom Sawyer, Mark Twain, 1835-1910, 19th Century, Historical",1817,12043351,https://covers.openlibrary.org/b/id/12043351-L.jpg,879,,0,/works/OL53919W
The Last of the Mohicans,James Fenimore Cooper,Fiction,"Adventure stories, Ficción, Fiction, Frontier and pioneer life, Historia",1826,8236937,https://covers.openlibrary.org/b/id/8236937-L.jpg,862,,0,/works/OL77958W
The Innocence of Father Brown (Father Brown Mystery),"Gilbert Keith Chesterton, Judith Boss, David Widger",Fiction,"Fiction, mystery & detective, collections & anthologies, England, fiction, Brown, father (fictitious character), fiction, Fiction, mystery & detective, traditional, Catholic church, clergy, fiction",1583,94081,https://covers.openlibrary.org/b/id/94081-L.jpg,850,,0,/works/OL76341W
David Copperfield,Charles Dickens,Fiction,"British and irish drama (dramatic works by one author), Children's fiction, Orphans, fiction, England, fiction, Boys, fiction",1800,1048892,https://covers.openlibrary.org/b/id/1048892-L.jpg,846,,0,/works/OL8662242W
The Old Curiosity Shop,Charles Dickens,Fiction,"Fiction, Girls, Gamblers, Grandfathers, Antique dealers",1800,13119794,https://covers.openlibrary.org/b/id/13119794-L.jpg,825,,0,/works/OL14869167W
Anne's House of Dreams,Lucy Maud Montgomery,Fiction,"Country life, Marriage, Juvenile fiction, Friendship, History",1917,14640440,https://covers.openlibrary.org/b/id/14640440-L.jpg,822,,0,/works/OL77764W
The Scarlet Letter,"Nathaniel Hawthorne, Austin Warren",Fiction,"American fiction (fictional works by one author), Fiction, History, Triangles (Interpersonal relations), Illegitimate children",1850,12155935,https://covers.openlibrary.org/b/id/12155935-L.jpg,817,,0,/works/OL25074095W
King Richard II,William Shakespeare,Fiction,"Drama, History, Quartos, Bibliography, Problems, exercises",1597,9069548,https://covers.openlibrary.org/b/id/9069548-L.jpg,814,,0,/works/OL362665W
Anne of Avonlea,Lucy Maud Montgomery,Fiction,"Fiction, History, Juvenile fiction, Orphans, Teachers",1909,14638062,https://covers.openlibrary.org/b/id/14638062-L.jpg,813,,0,/works/OL77744W
The Tempest,William Shakespeare,Fiction,"English literature: Shakespeare criticism, English literature: Shakespeare texts, Plays / Drama, Literary Criticism, Classics",1611,8155661,https://covers.openlibrary.org/b/id/8155661-L.jpg,804,,0,/works/OL362699W
πολιτεία,Πλάτων,Fiction,"Political science, Early works to 1800, Utopias, Ouvrages avant 1800, Science politique",1554,14418448,https://covers.openlibrary.org/b/id/14418448-L.jpg,794,,0,/works/OL51831W
The Secret Adversary,"Agatha Christie, Lazlo Ferran, Bill Peschel, Charles Keller, David Widger",Fiction,"Classic Literature, English language, Fiction, Married people, Murder",1922,14590159,https://covers.openlibrary.org/b/id/14590159-L.jpg,789,,0,/works/OL471789W
A Connecticut Yankee in King Arthur's Court,Mark Twain,Fiction,"Time travel, Fiction, Arthurian romances, Kings and rulers, Adaptations",1889,9168732,https://covers.openlibrary.org/b/id/9168732-L.jpg,788,,0,/works/OL54031W
Anne of the Island,Lucy Maud Montgomery,Fiction,"College students, Friendship, Universities and colleges, Fiction, Juvenile fiction",1826,14639028,https://covers.openlibrary.org/b/id/14639028-L.jpg,781,,0,/works/OL77748W
The Merchant of Venice,William Shakespeare,Fiction,"Drama, Jews, Moneylenders, Shylock (Fictitious character), Juvenile drama",1600,7182819,https://covers.openlibrary.org/b/id/7182819-L.jpg,781,,0,/works/OL258758W
Der Proceß,Franz Kafka,Fiction,"Fiction, Alegorical fiction, Manuscripts, Facsimiles, Trials",1825,997423,https://covers.openlibrary.org/b/id/997423-L.jpg,780,,0,/works/OL498463W
The Cricket on the Hearth,Charles Dickens,Fiction,"English Christmas stories, Short stories, Christmas stories, Social life and customs, Juvenile fiction",1846,9284868,https://covers.openlibrary.org/b/id/9284868-L.jpg,774,,0,/works/OL14868783W
The Valley of Fear,Arthur Conan Doyle,Fiction,"English Detective and mystery stories, Fiction, Private investigators, Private investigators in fiction, Romans",1914,8350377,https://covers.openlibrary.org/b/id/8350377-L.jpg,758,,0,/works/OL262505W
The Prince and the Pauper,Mark Twain,Fiction,"Readers, Fiction, Poor, Kings and rulers, Impostors and imposture",1881,8221267,https://covers.openlibrary.org/b/id/8221267-L.jpg,755,,0,/works/OL53994W
Leaves of Grass,Walt Whitman,Fiction,"Manuscripts, United States Civil War, 1861-1865, Gay poets, Presidents, Poetry",1855,9000447,https://covers.openlibrary.org/b/id/9000447-L.jpg,755,,0,/works/OL16333W
The Lost World,Arthur Conan Doyle,Fiction,"Adventure stories, Atlantis, Dinosaurs, Discovery and exploration, English Detective and mystery stories",1900,8231444,https://covers.openlibrary.org/b/id/8231444-L.jpg,747,,0,/works/OL262460W
Tess of the d'Urbervilles,Thomas Hardy,Fiction,"Fiction, Man-woman relationships, fiction, Poor families, fiction, Women murderers, fiction, Children of the rich",1707,13109386,https://covers.openlibrary.org/b/id/13109386-L.jpg,747,,0,/works/OL44927W
Dracula,Bram Stoker,Fiction,"English literature, Fiction, Horror, Horror stories, Horror tales",1897,12216503,https://covers.openlibrary.org/b/id/12216503-L.jpg,735,,0,/works/OL85892W
El Conde de Montecristo,Alexandre Dumas,Fiction,"France -- History -- 19th century -- Fiction, France, Fiction, France in fiction, History",1830,14566393,https://covers.openlibrary.org/b/id/14566393-L.jpg,733,,0,/works/OL36287W
Troilus and Cressida,William Shakespeare,Fiction,"Drama, Troilus (Legendary character), Cressida (Fictitious character), Trojan War, Fiction",1609,8789523,https://covers.openlibrary.org/b/id/8789523-L.jpg,732,,0,/works/OL362685W
The Marvelous Land of Oz,L. Frank Baum,Fiction,"Children's stories, American, Juvenile fiction, Translations into Russian, Children's literature, English, Children's literature, Russian",1904,12648656,https://covers.openlibrary.org/b/id/12648656-L.jpg,724,,0,/works/OL18396W
The Canterbury Tales,"Geoffrey Chaucer, John E. Cunningham, Peter Ackroyd, Ted Stearn, V. A. Kolve, Glending Olson",Fiction,"Death, English Narrative poetry, Juvenile poetry, Christian pilgrims and pilgrimages in literature, great_books_of_the_western_world",1478,5767180,https://covers.openlibrary.org/b/id/5767180-L.jpg,722,,0,/works/OL531767W
The Thirty-Nine Steps,John Buchan,Fiction,"Hannay, richard (fictitious character), fiction, Great britain, fiction, Fiction, espionage, English language, Fiction",1915,93020,https://covers.openlibrary.org/b/id/93020-L.jpg,714,,0,/works/OL76524W
The Book of Dragons,Edith Nesbit,Fiction,"Juvenile fiction, Children's stories, English, Fiction, Fairy tales, Dragons",1973,4342323,https://covers.openlibrary.org/b/id/4342323-L.jpg,706,,0,/works/OL99529W
Riders of the Purple Sage,Zane Grey,Fiction,"Fiction, Mormon women, Polygamy, Women ranchers, Lassiter (Fictitious character)",1912,872066,https://covers.openlibrary.org/b/id/872066-L.jpg,705,,0,/works/OL485504W
Othello,William Shakespeare,Fiction,"Drama, Othello (Fictitious character), Printing, Specimens, Dramatic production",1622,7165018,https://covers.openlibrary.org/b/id/7165018-L.jpg,702,,0,/works/OL258850W
Decamerone,Giovanni Boccaccio,Fiction,"Fiction, historical, general, Europe, fiction, Fiction, Plague, Storytelling",1516,6073528,https://covers.openlibrary.org/b/id/6073528-L.jpg,700,,0,/works/OL7180368W
Brave New World,Aldous Huxley,Fiction,"Utopias, Brainwashing, Moral and ethical aspects of Science, Fiction, Science and state",1932,8231823,https://covers.openlibrary.org/b/id/8231823-L.jpg,697,,0,/works/OL64365W
The House of Mirth,Edith Wharton,Fiction,"Fiction, Single women, Social classes, Drama, Social life and customs",1905,9329539,https://covers.openlibrary.org/b/id/9329539-L.jpg,684,,0,/works/OL98587W
The Pilgrim's Progress,John Bunyan,Fiction,"Bibliography, Readers, Fiction, Spiritual life, Church of England",1678,8229224,https://covers.openlibrary.org/b/id/8229224-L.jpg,683,,0,/works/OL107195W
The Autobiography of Benjamin Franklin,Benjamin Franklin,Fiction,"Wills, Scientists, Printers, American Maxims, Inventors",1791,5647361,https://covers.openlibrary.org/b/id/5647361-L.jpg,679,,0,/works/OL26492W
The Mayor of Casterbridge,Thomas Hardy,Fiction,"British and irish fiction (fictional works by one author), Wessex (england), fiction, Fathers and daughters, fiction, Long Now Manual for Civilization, Fiction, psychological",1800,1260617,https://covers.openlibrary.org/b/id/1260617-L.jpg,675,,0,/works/OL8193406W
The Jungle,Upton Sinclair,Fiction,"Slaughtering and slaughter-houses, Sociology, Lithuanian Americans, Fiction, Historical Fiction",1707,8231790,https://covers.openlibrary.org/b/id/8231790-L.jpg,673,,0,/works/OL114967W
Rainbow Valley,Lucy Maud Montgomery,Fiction,"Orphans, Fiction, French-Canadian fiction, Polish language materials, Juvenile fiction",1919,14641168,https://covers.openlibrary.org/b/id/14641168-L.jpg,671,,0,/works/OL77756W
Uncle Tom's Cabin,Harriet Beecher Stowe,Fiction,"Master and servant, Slavery, Plantation life, Uncle Tom (Fictitious character), Fugitive slaves",1850,12728198,https://covers.openlibrary.org/b/id/12728198-L.jpg,662,,0,/works/OL152161W
As a man thinketh,James Allen,Fiction,"New Thought, Conduct of life, Miniature books, Specimens, Inspirational",1902,6268048,https://covers.openlibrary.org/b/id/6268048-L.jpg,657,,0,/works/OL43024W
The Story of the Treasure Seekers,Edith Nesbit,Fiction,"Fiction, Brothers and sisters, Imagination, Moneymaking projects in fiction, Imagination in fiction",1899,13241364,https://covers.openlibrary.org/b/id/13241364-L.jpg,653,,0,/works/OL99522W
The Jewel of Seven Stars,Bram Stoker,Fiction,"Mummies, Horror, Fiction, Archaeologists, Classic Literature",1902,2760301,https://covers.openlibrary.org/b/id/2760301-L.jpg,653,,0,/works/OL85891W
Twelfth Night,William Shakespeare,Fiction,"Drama, Brothers and sisters, Twins, Survival after airplane accidents, shipwrecks, Mistaken identity",1734,9119932,https://covers.openlibrary.org/b/id/9119932-L.jpg,649,,0,/works/OL362694W
Tao te Ching,"老子, James Legge, Gia-Fu Feng, Stacie Mallinson, Jeff Mallinson, Peter Kang, John Minford, Stephen Mitchell",Fiction,"Chinese Philosophy, Chinese language materials, Peace, Tao, Taoism",1842,662232,https://covers.openlibrary.org/b/id/662232-L.jpg,648,,0,/works/OL45499W
The Battle of Life,"Charles Dickens, Pradip Das, Edward Stirling, Shahid Akram, Charles Dickens",Fiction,"Classic Literature, Fiction, Social life and customs, English Christmas stories, British and irish fiction (fictional works by one author)",1846,9285597,https://covers.openlibrary.org/b/id/9285597-L.jpg,645,,0,/works/OL14868497W
The Man Who Knew Too Much,Gilbert Keith Chesterton,Fiction,"Fiction, English Detective and mystery stories, Aristocracy (Social class), Fiction, mystery & detective, general, Large type books",1922,12897858,https://covers.openlibrary.org/b/id/12897858-L.jpg,644,,0,/works/OL76468W
War and Peace,Лев Толстой,Fiction,"Classic, History, Russian Empire, Fiction, Russia",1864,12621906,https://covers.openlibrary.org/b/id/12621906-L.jpg,642,,0,/works/OL267171W
The Red Badge of Courage,Stephen Crane,Fiction,"1783-1865, American Manuscripts, Cartoons and comics, Chancellorsville, Battle of, Chancellorsville, Va., 1863, Civil War, 1861-1865",1855,8236915,https://covers.openlibrary.org/b/id/8236915-L.jpg,639,,0,/works/OL20844W
The Moonstone,Wilkie Collins,Fiction,"Fiction, Jewelry theft, East Indians, Police, Drama",1868,8237041,https://covers.openlibrary.org/b/id/8237041-L.jpg,637,,0,/works/OL176092W
Du côté de chez Swann,Marcel Proust,Fiction,"Comics & graphic novels, general, France, fiction, Early memories, Fiction, Social life and customs",1908,11967344,https://covers.openlibrary.org/b/id/11967344-L.jpg,636,,0,/works/OL30053009W
The Emerald City of Oz,L. Frank Baum,Fiction,"Juvenile fiction, Fiction, Oz (Imaginary place), Fantasy, Princess Ozma (Fictitious character)",1910,1473556,https://covers.openlibrary.org/b/id/1473556-L.jpg,634,,0,/works/OL18409W
The Prisoner of Zenda,"Anthony Hope, Gary Hoppenstand, Diane Mowat, Alan Marks, Francesc Ràfols, Andrew Pugsley, Summer M. Hogan, Summer Hogan, Smidgen Press, Charles Dana Gibson, Daniel Lanza Barba, Javier Fornell Fernandez, Stephen Colbourn, Katy Jackson, James Wilby, Robinson, M.",Fiction,"Fiction, Adventure, Fiction, action & adventure, Ruritania (imaginary place), fiction, British and irish fiction (fictional works by one author)",1800,105814,https://covers.openlibrary.org/b/id/105814-L.jpg,625,,0,/works/OL245401W
Dorothy and the Wizard in Oz,L. Frank Baum,Fiction,"Fairy tales, Fiction, Oz (Imaginary place), Fantasy, Classic Literature",1908,12648659,https://covers.openlibrary.org/b/id/12648659-L.jpg,622,,0,/works/OL18412W
The Second Jungle Book,Rudyard Kipling,Fiction,"Romans, Enfants sauvages, Jungles, Faune de la jungle, Fiction",1887,2140514,https://covers.openlibrary.org/b/id/2140514-L.jpg,611,,0,/works/OL19926W
Goldsmith's The vicar of Wakefield,Oliver Goldsmith,Fiction,"Abduction, Children of clergy, Clergy, Fiction, Poor families",1111,6720851,https://covers.openlibrary.org/b/id/6720851-L.jpg,609,,0,/works/OL890896W
The Scarlet Letter,Nathaniel Hawthorne,Fiction,"Fiction, Puritans, Puritans in fiction, History, Adultery in fiction",1850,5654516,https://covers.openlibrary.org/b/id/5654516-L.jpg,608,,0,/works/OL455305W
Ulysses,"James Joyce, James Joyce, james joyce",Fiction,"Married people, Male friendship, Fiction, Historical Fiction, Psychological fiction",1914,13136548,https://covers.openlibrary.org/b/id/13136548-L.jpg,608,,0,/works/OL86318W
Lady Susan,Jane Austen,Fiction,"Fiction, Facsimiles, Mate selection, English Manuscripts, Mothers and daughters",1925,12641526,https://covers.openlibrary.org/b/id/12641526-L.jpg,600,,0,/works/OL66614W
